
Gurobi 12.0.0 (win64) logging started Sun Jan 25 21:16:54 2026

Set parameter LogFile to value "Storage_orig/Logs/log_____________2026_01_25_21_16_54.log"
Set parameter MIPGap to value 0.01
Set parameter OutputFlag to value 1
Gurobi Optimizer version 12.0.0 build v12.0.0rc1 (win64 - Windows 11.0 (26100.2))

CPU model: Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz, instruction set [SSE2|AVX|AVX2]
Thread count: 6 physical cores, 12 logical processors, using up to 12 threads

Non-default parameters:
MIPGap  0.01
MIPFocus  1

Optimize a model with 16100 rows, 2280 columns and 42808 nonzeros
Model fingerprint: 0x4ca9d1db
Variable types: 40 continuous, 2240 integer (1360 binary)
Coefficient statistics:
  Matrix range     [2e-01, 2e+02]
  Objective range  [1e+01, 4e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 3e+02]
Found heuristic solution: objective 30880.000000
Presolve removed 12968 rows and 356 columns
Presolve time: 0.06s
Presolved: 3132 rows, 1924 columns, 21172 nonzeros
Variable types: 40 continuous, 1884 integer (1160 binary)

Root relaxation: objective 6.492443e+03, 2245 iterations, 0.10 seconds (0.09 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

   817   680 7162.29248    6  351 13524.0000 7157.94928  47.1%   177   30s
  1195  1043 8188.59911   44   77 13524.0000 7158.69796  47.1%   169   35s
  1508  1247 7932.17661   26   38 13524.0000 7158.69796  47.1%   157   40s
  1537  1267 7824.32203   24  498 13524.0000 7158.69796  47.1%   154   45s
  1555  1279 7810.30130   23  456 13524.0000 7167.58593  47.0%   152   51s
  1602  1325 7177.80462   20  423 13524.0000 7167.71194  47.0%   188   55s
  1730  1400 7898.63372   29  223 13524.0000 7167.71194  47.0%   200   60s
  1857  1503 8018.79115   37  144 13524.0000 7167.71194  47.0%   204   65s
  1906  1525 8059.30425   41  203 13524.0000 7167.71194  47.0%   207   70s
  1947  1564 8247.74306   45  174 13524.0000 7167.71194  47.0%   213   75s
  2040  1587 8444.93519   52  232 13524.0000 7167.71194  47.0%   216   81s
  2093  1603 11799.3982   53  331 13524.0000 7167.71194  47.0%   216   85s
  2165  1617 11815.4420   58  276 13524.0000 7167.71194  47.0%   221   91s
  2284  1658 7174.22841   22  374 13524.0000 7171.72737  47.0%   222   96s
  2296  1663 7193.02955   24  260 13524.0000 7171.72737  47.0%   223  100s
  2329  1698 7895.53253   32   54 13524.0000 7171.72737  47.0%   223  106s
  2502  1794 8323.61572   64  101 13524.0000 7171.73381  47.0%   224  111s
