
Gurobi 12.0.0 (win64) logging started Sun Jan 25 21:22:02 2026

Set parameter LogFile to value "Storage_orig/Logs/log_____________2026_01_25_21_22_02.log"
Set parameter MIPGap to value 0.01
Set parameter OutputFlag to value 1
Gurobi Optimizer version 12.0.0 build v12.0.0rc1 (win64 - Windows 11.0 (26100.2))

CPU model: Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz, instruction set [SSE2|AVX|AVX2]
Thread count: 6 physical cores, 12 logical processors, using up to 12 threads

Non-default parameters:
MIPGap  0.01
MIPFocus  1

Optimize a model with 16100 rows, 2280 columns and 42808 nonzeros
Model fingerprint: 0x0217749b
Variable types: 40 continuous, 2240 integer (1360 binary)
Coefficient statistics:
  Matrix range     [2e-01, 2e+02]
  Objective range  [1e+01, 4e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 3e+02]
Found heuristic solution: objective 30880.000000
Presolve removed 12968 rows and 356 columns
Presolve time: 0.09s
Presolved: 3132 rows, 1924 columns, 21172 nonzeros
Variable types: 40 continuous, 1884 integer (1160 binary)

Root relaxation: objective 6.492443e+03, 2400 iterations, 0.16 seconds (0.09 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 67391 42558 8216.42480   62  171 8295.00000 7179.87235  13.4%   156  577s
 67969 43056 7833.00000   34   57 8295.00000 7179.90266  13.4%   156  580s
 68619 43106 7801.47212   32   29 8295.00000 7179.95001  13.4%   156  586s
 69061 43839 8214.99791   46   44 8295.00000 7179.96153  13.4%   156  593s
 69729 44284 7607.53131   50  122 8295.00000 7179.99968  13.4%   156  596s
 70274 44287 infeasible   87      8295.00000 7180.00571  13.4%   156  600s
 70365 44416 7971.37882   96   68 8295.00000 7180.02359  13.4%   156  607s
 70449 44487 7805.46476   33  291 8295.00000 7180.02534  13.4%   156  611s
 70538 44794 7872.31579   37   89 8295.00000 7180.02534  13.4%   156  615s
 71529 45537 7790.00913   30  162 8295.00000 7180.09268  13.4%   156  623s
 72002 45951 7791.24348   31  191 8295.00000 7180.09268  13.4%   156  627s
 72661 46451 8229.85762   41   98 8295.00000 7180.18520  13.4%   156  631s
 73940 47047     cutoff   91      8295.00000 7180.21772  13.4%   155  638s
 74434 47325 7216.58242   34  178 8295.00000 7180.31404  13.4%   156  642s
 74756 47365 7911.52143   46  121 8295.00000 7180.31404  13.4%   156  646s
 74822 47645 7911.30952   46  130 8295.00000 7180.31529  13.4%   156  650s
 75867 48736 7214.23333   41  153 8295.00000 7180.38002  13.4%   156  658s
 76758 49373 8093.45588   49  138 8295.00000 7180.44425  13.4%   156  662s
