
Gurobi 12.0.0 (win64) logging started Sun Jan 25 21:22:02 2026

Set parameter LogFile to value "Storage_orig/Logs/log_____________2026_01_25_21_22_02.log"
Set parameter MIPGap to value 0.01
Set parameter OutputFlag to value 1
Gurobi Optimizer version 12.0.0 build v12.0.0rc1 (win64 - Windows 11.0 (26100.2))

CPU model: Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz, instruction set [SSE2|AVX|AVX2]
Thread count: 6 physical cores, 12 logical processors, using up to 12 threads

Non-default parameters:
MIPGap  0.01
MIPFocus  1

Optimize a model with 16100 rows, 2280 columns and 42808 nonzeros
Model fingerprint: 0x0217749b
Variable types: 40 continuous, 2240 integer (1360 binary)
Coefficient statistics:
  Matrix range     [2e-01, 2e+02]
  Objective range  [1e+01, 4e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 3e+02]
Found heuristic solution: objective 30880.000000
Presolve removed 12968 rows and 356 columns
Presolve time: 0.09s
Presolved: 3132 rows, 1924 columns, 21172 nonzeros
Variable types: 40 continuous, 1884 integer (1160 binary)

Root relaxation: objective 6.492443e+03, 2400 iterations, 0.16 seconds (0.09 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 409821 248338 7807.43590   37  102 8116.00000 7197.43695  11.3%   151 2747s
 409833 252265 7807.90028   38  100 8116.00000 7197.45136  11.3%   151 2786s
 415833 252268 7807.49324   25  145 8116.00000 7197.67936  11.3%   151 2790s
 415860 252586 7818.49543   27  210 8116.00000 7197.67936  11.3%   151 2797s
 416345 253159 infeasible   69      8116.00000 7197.70656  11.3%   151 2801s
 417915 254154 7206.66039   41  355 8116.00000 7197.76526  11.3%   151 2808s
 418716 254576 7809.17208   39  117 8116.00000 7197.79774  11.3%   151 2811s
 419775 255334 8032.57500   37   62 8116.00000 7197.84862  11.3%   151 2818s
 420463 255787 7809.01557   25   23 8116.00000 7197.87246  11.3%   151 2821s
 421194 256111 7219.42951   42  334 8116.00000 7197.90335  11.3%   151 2825s
 422269 256967 7913.32664   44  292 8116.00000 7197.91964  11.3%   151 2833s
 422907 257300 7809.00000   40   55 8116.00000 7197.95918  11.3%   151 2838s
 423492 257302 infeasible   78      8116.00000 7197.98780  11.3%   151 2843s
 423502 257616 7820.97391   36  187 8116.00000 7197.99062  11.3%   151 2848s
 423950 258184 7944.64400   43  166 8116.00000 7198.00293  11.3%   151 2853s
 424859 258626 7208.93901   33  299 8116.00000 7198.02989  11.3%   151 2858s
 425502 259185 7217.61538   34  198 8116.00000 7198.05637  11.3%   151 2862s
 426319 259454     cutoff   39      8116.00000 7198.07621  11.3%   151 2866s
 426817 259921 7835.80738   33  186 8116.00000 7198.10486  11.3%   151 2870s
 428162 260732 7822.17391   36  131 8116.00000 7198.17411  11.3%   151 2877s
 428894 261106 7839.69883   46  335 8116.00000 7198.19184  11.3%   151 2881s
 429472 261106     cutoff   79      8116.00000 7198.21569  11.3%   151 2885s
 429753 261644 7216.31225   41  289 8116.00000 7198.22244  11.3%   151 2893s
 430341 262098 7330.14725   39  177 8116.00000 7198.24974  11.3%   151 2897s
 431089 262488 8015.98000   48   33 8116.00000 7198.26093  11.3%   151 2901s
 431755 263057 8044.37666   54  198 8116.00000 7198.28659  11.3%   151 2905s
 432795 263489 7821.56595   41  101 8116.00000 7198.32680  11.3%   151 2913s
 433376 263967 7815.23190   38   94 8116.00000 7198.33601  11.3%   151 2916s
 434171 264250 7845.89583   49  334 8116.00000 7198.38519  11.3%   151 2920s
 435436 264778 7805.00000   34   62 8116.00000 7198.44000  11.3%   151 2927s
 435517 267916     cutoff   33      8116.00000 7198.44000  11.3%   151 2954s
 440817 268355 7223.58712   42  305 8116.00000 7198.63028  11.3%   151 2957s
 441495 268760 7895.78681   29  442 8116.00000 7198.68935  11.3%   151 2961s
 442715 269375 7878.10585   44  233 8116.00000 7198.76296  11.3%   151 2967s
 443245 269380     cutoff   72      8116.00000 7198.77710  11.3%   151 2971s
 443354 269736 8049.46398   74  179 8116.00000 7198.77710  11.3%   151 2978s
 443856 270203 7815.57492   35  120 8116.00000 7198.82593  11.3%   151 2981s
 444504 270468 7813.85714   29   86 8116.00000 7198.84988  11.3%   151 2985s
 445349 270886 8005.57972   49  255 8116.00000 7198.87539  11.3%   151 2992s
 445602 271276 7894.38060   52  240 8116.00000 7198.87539  11.3%   151 2996s
 446976 272296 7232.37784   51  192 8116.00000 7198.92814  11.3%   151 3003s
 447640 272660 7905.16764   39  300 8116.00000 7198.96887  11.3%   151 3006s
 448299 273132 7219.00000   40  189 8116.00000 7199.01498  11.3%   151 3010s
 449075 273139 7229.06049   51  477 8116.00000 7199.04253  11.3%   151 3018s
 449081 273145 7229.20000   52  212 8116.00000 7199.04253  11.3%   151 3021s
 449087 273149 7230.72655   53  314 8116.00000 7199.04253  11.3%   151 3025s
 449434 273786 7992.85513  144   62 8116.00000 7199.04348  11.3%   151 3033s
 450060 274258 8036.48663   51  198 8116.00000 7199.08557  11.3%   151 3037s
 450867 274760 7806.32143   36  140 8116.00000 7199.12833  11.3%   151 3041s
 451530 275299 7840.28688   35  112 8116.00000 7199.14139  11.3%   151 3045s
 452937 276033 7235.93333   49  224 8116.00000 7199.21702  11.3%   151 3052s
 453542 276487 7936.96401   50  150 8116.00000 7199.24276  11.3%   151 3056s
 454870 277406 7918.60349   37  236 8116.00000 7199.29758  11.3%   151 3062s
 455766 277805 7823.00000   36   64 8116.00000 7199.34020  11.3%   151 3066s
 457203 278637 7797.09841   30  119 8116.00000 7199.40762  11.3%   151 3072s
 457735 279038 7239.79460   43  226 8116.00000 7199.43665  11.3%   151 3076s
 459019 279839     cutoff   44      8116.00000 7199.51597  11.3%   151 3083s
 459709 279977 7814.89522   33  207 8116.00000 7199.54331  11.3%   151 3087s
 459918 280219 8018.63839   37  216 8116.00000 7199.54331  11.3%   151 3090s
 461031 281070 7806.00000   35   16 8116.00000 7199.62726  11.3%   151 3097s
 461871 281350 7842.67771   43  140 8116.00000 7199.65017  11.3%   151 3100s
 462731 281910 7896.14144   42  291 8116.00000 7199.71506  11.3%   151 3107s
 463324 282242 7820.75435   35  244 8116.00000 7199.76253  11.3%   151 3110s
 464367 283063 7825.34980   37  148 8116.00000 7199.80215  11.3%   151 3117s
 465116 283068 7812.61935   35  216 8116.00000 7199.84611  11.3%   151 3120s
 465311 283568 7850.08109   43  268 8116.00000 7199.84626  11.3%   151 3127s
 465901 283907 7908.26316   30   78 8116.00000 7199.89174  11.3%   151 3131s
 466504 284168 8030.23494   42  211 8116.00000 7199.93385  11.3%   151 3135s
 467592 285043 7811.73908   33  118 8116.00000 7199.99046  11.3%   151 3143s
 468308 285564 7921.03590   30  154 8116.00000 7200.00297  11.3%   151 3147s
 469204 285929 7824.09544   36  179 8116.00000 7200.02760  11.3%   151 3150s
 470498 286802 7638.69868   50  239 8116.00000 7200.06776  11.3%   151 3157s
 471083 287086 7954.01326   43  125 8116.00000 7200.07972  11.3%   151 3161s
 471564 287092 7940.74710   44  239 8116.00000 7200.10984  11.3%   151 3165s
 471938 287713 7816.37500   42    8 8116.00000 7200.12293  11.3%   151 3172s
 472608 288278     cutoff   68      8116.00000 7200.17256  11.3%   151 3176s
 473952 288841     cutoff   34      8116.00000 7200.25613  11.3%   151 3183s
 474477 289176 8064.35978   60  216 8116.00000 7200.25613  11.3%   151 3188s
 475063 289860 7241.74709   47  220 8116.00000 7200.33343  11.3%   151 3192s
 476102 290303 7706.21402   71  194 8116.00000 7200.38462  11.3%   151 3195s
 477541 290860 7827.20922   35   55 8116.00000 7200.42991  11.3%   151 3203s
 477547 291006 7946.35690   36  296 8116.00000 7200.42991  11.3%   151 3206s
 477790 291264 7907.68495   38   76 8116.00000 7200.42991  11.3%   151 3210s
 479034 292108 7813.72735   34  238 8116.00000 7200.50436  11.3%   151 3216s
 479719 292420 7846.26684   46  265 8116.00000 7200.54192  11.3%   151 3220s
 480738 293284 7669.75983   97   62 8116.00000 7200.59612  11.3%   151 3227s
 481473 293640 7813.47102   39  193 8116.00000 7200.63149  11.3%   151 3230s
 482746 294093 8039.03602   49  223 8116.00000 7200.70399  11.3%   151 3237s
 482752 294129 8039.66131   50  227 8116.00000 7200.70399  11.3%   151 3240s
 483333 294869 7208.78328   39  427 8116.00000 7200.74265  11.3%   151 3247s
 483898 295288     cutoff   53      8116.00000 7200.77397  11.3%   151 3250s
 485148 296013 8068.12225   77  183 8116.00000 7200.87745  11.3%   151 3258s
 485715 296620 7909.00000   51   44 8116.00000 7200.91463  11.3%   151 3261s
 486661 296947 7924.71652   71  129 8116.00000 7200.95611  11.3%   151 3265s
 487880 297841 7870.11559   34  266 8116.00000 7201.05000  11.3%   151 3272s
 488719 298202 7829.10993   37  181 8116.00000 7201.09068  11.3%   151 3275s
 489223 298290 7835.04289   59   95 8116.00000 7201.09068  11.3%   151 3281s
 489452 298605 7901.56667   68  107 8116.00000 7201.11036  11.3%   151 3285s
 490712 299470 8015.61403   61  188 8116.00000 7201.16744  11.3%   151 3292s
 491390 299842     cutoff   39      8116.00000 7201.20249  11.3%   151 3295s
 492747 300675 7872.78485   54   94 8116.00000 7201.27995  11.3%   151 3302s
 493338 301162 7232.41839   35  222 8116.00000 7201.31179  11.3%   151 3305s
 494652 301859 infeasible   37      8116.00000 7201.34566  11.3%   151 3312s
 495338 302262 8011.51049   74   46 8116.00000 7201.38635  11.3%   151 3316s
 495984 302267 7820.79170   45  259 8116.00000 7201.39770  11.3%   151 3320s
 496004 302271 7866.27010   46  291 8116.00000 7201.39770  11.3%   151 3327s
 496010 302276 7848.21958   46  265 8116.00000 7201.39770  11.3%   151 3331s
 496226 302777 7822.00292   39  221 8116.00000 7201.42328  11.3%   151 3338s
 496906 303113 7863.04726   48  122 8116.00000 7201.44300  11.3%   151 3341s
 498296 303997 7202.98219   35  546 8116.00000 7201.52917  11.3%   151 3348s
 498976 304490 7210.61562   34  478 8116.00000 7201.55502  11.3%   151 3351s
 499694 304859 7823.00000   31   63 8116.00000 7201.58325  11.3%   151 3355s
 500835 305495 7827.83095   38  293 8116.00000 7201.65324  11.3%   151 3361s
 501538 305910 7958.89107   56  242 8116.00000 7201.70508  11.3%   151 3365s
 503034 306514 7204.52227   30  347 8116.00000 7201.78287  11.3%   151 3372s
 503232 306832 7211.28461   31  253 8116.00000 7201.78287  11.3%   151 3375s
 503773 307251 8048.27616   60  240 8116.00000 7201.80328  11.3%   151 3380s
 505051 307890 7821.23712   35  138 8116.00000 7201.88666  11.3%   151 3387s
 505630 308306 8015.55825   68  221 8116.00000 7201.90721  11.3%   151 3390s
 507081 309107 8011.05747   52  255 8116.00000 7201.96352  11.3%   151 3396s
 507764 309482 8019.78328   46  161 8116.00000 7202.00465  11.3%   151 3400s
 509088 310239 7846.68392   54  159 8116.00000 7202.07185  11.3%   151 3406s
 510295 310846     cutoff   50      8116.00000 7202.13514  11.3%   151 3412s
 510800 311255 7828.68336   38  276 8116.00000 7202.17038  11.3%   151 3415s
 512105 311952 7843.50308   36  195 8116.00000 7202.23203  11.3%   151 3421s
 512730 312546 8045.59516   39  328 8116.00000 7202.27177  11.3%   151 3426s
 513665 312607 8009.18371   70  259 8116.00000 7202.30757  11.3%   151 3433s
 513760 312655 8009.19911   71  253 8116.00000 7202.30797  11.3%   151 3436s
 513864 312671 8009.19911   72  255 8116.00000 7202.30797  11.3%   151 3441s
 513880 313050 8031.10200   73  273 8116.00000 7202.30797  11.3%   151 3445s
 515259 313795 7816.69291   36  134 8116.00000 7202.37398  11.3%   151 3453s
 515741 314179 7910.00000   43   15 8116.00000 7202.37398  11.3%   151 3457s
 516323 314582     cutoff  104      8116.00000 7202.41321  11.3%   151 3460s
 517682 315581     cutoff   42      8116.00000 7202.48056  11.3%   151 3468s
 518520 315976 7811.85782   39  377 8116.00000 7202.51693  11.3%   151 3471s
 519297 316393 8045.17623   51  208 8116.00000 7202.55000  11.3%   151 3475s
 520673 317171 7586.06977   49  155 8116.00000 7202.63223  11.3%   151 3481s
 521211 317641     cutoff   47      8116.00000 7202.66512  11.3%   151 3485s
 522604 318287 7936.96969   39   53 8116.00000 7202.75862  11.3%   151 3492s
 523014 318412 7834.62530   38  223 8116.00000 7202.78794  11.3%   151 3495s
 523473 318546 7822.59096   27  244 8116.00000 7202.79787  11.3%   151 3500s
 523844 319037 7965.09911   59  179 8116.00000 7202.80000  11.3%   151 3507s
 524292 319531 7883.82196   52  246 8116.00000 7202.87079  11.3%   151 3511s
 525763 320004 7233.78485   36  182 8116.00000 7202.94337  11.3%   151 3518s
 525774 323698     cutoff   37      8116.00000 7202.94532  11.3%   151 3551s
 531774 323750 7996.13424   48  197 8116.00000 7203.21191  11.2%   151 3555s
 531881 323947 7840.11969   46  167 8116.00000 7203.22089  11.2%   151 3563s
 532191 324287 7839.95989   47  234 8116.00000 7203.22089  11.2%   151 3566s
 533649 325070 infeasible   39      8116.00000 7203.35239  11.2%   151 3572s
 534327 325446 7915.12108   37   85 8116.00000 7203.38281  11.2%   151 3575s
 535569 326035 7236.80000   52  214 8116.00000 7203.42857  11.2%   151 3582s
 536062 326245 7814.10549   36  147 8116.00000 7203.45836  11.2%   151 3586s
 537045 326619 7838.44858   37  210 8116.00000 7203.50580  11.2%   151 3593s
 537051 326745 7838.93806   38  198 8116.00000 7203.50580  11.2%   151 3596s
 537950 327637 7819.64839   34  131 8116.00000 7203.54491  11.2%   151 3603s
 538674 328080 8042.75044   77   29 8116.00000 7203.56924  11.2%   151 3607s
 539928 328823 7817.26321   38  265 8116.00000 7203.62864  11.2%   151 3613s
 540617 329156 7949.45016   52  274 8116.00000 7203.65947  11.2%   151 3616s
 541178 329589 7818.15385   35  114 8116.00000 7203.69341  11.2%   151 3620s
 542263 330274 7704.58974   59  189 8116.00000 7203.74228  11.2%   151 3627s
 542958 330670 7823.29860   28  162 8116.00000 7203.78974  11.2%   151 3630s
 544336 331165 8033.64002   71  205 8116.00000 7203.83591  11.2%   151 3636s
 544344 331272 infeasible   72      8116.00000 7203.83591  11.2%   151 3640s
 544879 331965 7587.44088   48  117 8116.00000 7203.85105  11.2%   151 3647s
 545541 332411 7215.69682   35  454 8116.00000 7203.90920  11.2%   151 3650s
 546903 333140 7955.71167   45  298 8116.00000 7203.96796  11.2%   151 3657s
 547537 333587 7262.84572   26  423 8116.00000 7204.02273  11.2%   151 3660s
 548572 334152 7853.84995   39  350 8116.00000 7204.05203  11.2%   151 3667s
 549114 334531 7947.38779   65   69 8116.00000 7204.08420  11.2%   151 3670s
 549863 334669 7939.17175   40  267 8116.00000 7204.13615  11.2%   151 3678s
 550033 335026 7940.29695   41  320 8116.00000 7204.14398  11.2%   151 3682s
 550652 335410 infeasible   54      8116.00000 7204.17793  11.2%   151 3685s
 552028 336168 7897.49223   33  226 8116.00000 7204.26703  11.2%   151 3692s
 553140 336920 infeasible   46      8116.00000 7204.29865  11.2%   151 3698s
 553758 337383 7816.55947   34  131 8116.00000 7204.35076  11.2%   151 3701s
 554999 338136 7964.76807   49  168 8116.00000 7204.41830  11.2%   151 3707s
 555689 338225 7834.02489   37  270 8116.00000 7204.45673  11.2%   151 3711s
 555868 338254 7854.85714   39  178 8116.00000 7204.48333  11.2%   151 3717s
 555908 338540 7854.87464   40  131 8116.00000 7204.48333  11.2%   151 3721s
 556983 339390 7821.72944   32  106 8116.00000 7204.55192  11.2%   151 3727s
 557633 339863 7237.96286   46  208 8116.00000 7204.58699  11.2%   151 3730s
 558889 340545 7908.32237   43  210 8116.00000 7204.65911  11.2%   151 3738s
 559433 340968 infeasible   88      8116.00000 7204.66667  11.2%   151 3741s
 560090 341439 7593.86997   52  113 8116.00000 7204.72333  11.2%   151 3745s
 561452 342315     cutoff   55      8116.00000 7204.78000  11.2%   151 3751s
 562895 342776 7817.61538   28  141 8116.00000 7204.85304  11.2%   151 3757s
 562902 342880 7818.83962   29  137 8116.00000 7204.85304  11.2%   151 3761s
 563556 343419 7856.27624   37  175 8116.00000 7204.89447  11.2%   151 3768s
 564040 343855 7846.50125   43  163 8116.00000 7204.92504  11.2%   151 3771s
 564749 344123 8033.25833   49   55 8116.00000 7204.97105  11.2%   151 3775s
 565680 344949 7817.06430   35   89 8116.00000 7205.02039  11.2%   151 3783s
 566399 345389 7840.59883   51  213 8116.00000 7205.07445  11.2%   151 3787s
 567189 345666 8041.01617   54  195 8116.00000 7205.10327  11.2%   151 3791s
 567614 345961 7866.43907   51  169 8116.00000 7205.10891  11.2%   151 3795s
 568116 345966 8042.92308   41  153 8116.00000 7205.15474  11.2%   151 3800s
 568360 346531 7937.79001   62  120 8116.00000 7205.15474  11.2%   151 3808s
 568954 347100 7964.38794   55   89 8116.00000 7205.19043  11.2%   151 3812s
 569808 347493 7969.66497   73  201 8116.00000 7205.21255  11.2%   151 3815s
 571219 348392 7240.60893   44  223 8116.00000 7205.27633  11.2%   151 3823s
 571958 348713 7873.78600   49  197 8116.00000 7205.32575  11.2%   151 3827s
 572534 349101 7935.18952   37  124 8116.00000 7205.37582  11.2%   151 3830s
 573316 349146 7822.30248   39  210 8116.00000 7205.41946  11.2%   151 3838s
 573322 349257 7826.15962   40  172 8116.00000 7205.41946  11.2%   151 3842s
 573557 349650 7826.15962   41  172 8116.00000 7205.41946  11.2%   151 3846s
 574167 350081 7982.80730   77  238 8116.00000 7205.45797  11.2%   151 3850s
 575871 351031 7856.16010   44  135 8116.00000 7205.57458  11.2%   151 3857s
 576437 351649 7218.51542   32  393 8116.00000 7205.60936  11.2%   151 3861s
 577287 352226 7941.24390   55  104 8116.00000 7205.65388  11.2%   151 3865s
 578569 352885     cutoff   43      8116.00000 7205.73078  11.2%   151 3870s
 579596 353670 7247.75238   39  113 8116.00000 7205.80417  11.2%   151 3877s
 580422 353676 8042.25743   49  171 8116.00000 7205.84356  11.2%   151 3880s
 580538 354136 8055.90496   49  167 8116.00000 7205.85440  11.2%   151 3886s
 581109 354514 7988.85077   50  143 8116.00000 7205.88672  11.2%   151 3890s
 582347 355336 7222.07475   36  317 8116.00000 7205.91890  11.2%   151 3896s
 583544 355861 7216.48594   34  394 8116.00000 7205.99028  11.2%   151 3903s
 583829 356228 7830.34754   38  243 8116.00000 7206.00938  11.2%   151 3906s
 584319 356371 7982.18976  101  339 8116.00000 7206.01242  11.2%   151 3910s
 585061 357183 7876.17678   52  110 8116.00000 7206.07504  11.2%   151 3918s
 585801 357738 8097.01372  137   84 8116.00000 7206.11224  11.2%   151 3922s
 586618 357744 7831.53589   39  282 8116.00000 7206.13980  11.2%   151 3925s
 586793 358257 7837.99480   40  221 8116.00000 7206.13980  11.2%   151 3932s
 587501 358684 infeasible   95      8116.00000 7206.17593  11.2%   151 3935s
 588853 359493 7927.66903   48   97 8116.00000 7206.25671  11.2%   151 3942s
 589442 360104 7999.25615   75   53 8116.00000 7206.30540  11.2%   151 3946s
 590892 361033 infeasible   42      8116.00000 7206.40754  11.2%   151 3953s
 591882 361304 7845.98530   36   88 8116.00000 7206.44258  11.2%   151 3956s
 593043 361937 7329.25349   36  351 8116.00000 7206.52359  11.2%   151 3962s
 593503 362310 7924.22204   46  181 8116.00000 7206.54300  11.2%   151 3965s
 594104 362325 7941.41224   38  271 8116.00000 7206.57119  11.2%   151 3972s
 594143 362756 7907.90000   43   72 8116.00000 7206.58326  11.2%   151 3975s
 595248 363465 8035.46278   42   86 8116.00000 7206.64971  11.2%   151 3982s
 595865 364014 7963.03595   42  345 8116.00000 7206.67856  11.2%   151 3986s
 597136 364763 7942.30476   41  222 8116.00000 7206.77002  11.2%   151 3992s
 597883 365253 7869.29796   39  172 8116.00000 7206.80224  11.2%   151 3995s
 599647 366149     cutoff   66      8116.00000 7206.88288  11.2%   151 4001s
 600169 366508 7820.42775   33  264 8116.00000 7206.92433  11.2%   151 4005s
 601327 367163 7869.40272   46  206 8116.00000 7207.00695  11.2%   151 4011s
 602472 367585 7809.15981   43  126 8116.00000 7207.03448  11.2%   151 4017s
 602482 367598 7826.32500   42   74 8116.00000 7207.03448  11.2%   151 4020s
 603005 368317 7823.97299   44  123 8116.00000 7207.06820  11.2%   151 4027s
 603787 368595     cutoff   46      8116.00000 7207.14838  11.2%   151 4030s
 604864 369481 7989.34858   39  323 8116.00000 7207.21156  11.2%   151 4037s
 605606 369790     cutoff   58      8116.00000 7207.26649  11.2%   151 4040s
 606945 370468 8087.92216   63  174 8116.00000 7207.36474  11.2%   151 4047s
 607369 370647 infeasible   50      8116.00000 7207.39161  11.2%   151 4050s
 608372 371425     cutoff   37      8116.00000 7207.47432  11.2%   151 4057s
 608956 371431 7927.63019   40  117 8116.00000 7207.51613  11.2%   151 4060s
 609110 371954 8017.66699   53  191 8116.00000 7207.54247  11.2%   151 4067s
 609770 372318 7990.52955   40  222 8116.00000 7207.57375  11.2%   151 4070s
 610873 372979 7843.67729   38  114 8116.00000 7207.68920  11.2%   151 4077s
 611587 373345 7859.41138   38  303 8116.00000 7207.77667  11.2%   151 4080s
 612867 374174 7828.92500   32   69 8116.00000 7207.85199  11.2%   151 4087s
 613531 374692 7224.84841   39  296 8116.00000 7207.89409  11.2%   151 4090s
 615036 375437 8034.90130   48  220 8116.00000 7207.94987  11.2%   151 4097s
 615682 375787 7715.89921   76  190 8116.00000 7207.95000  11.2%   151 4102s
 616447 375793 7219.54497   37  421 8116.00000 7208.03909  11.2%   151 4105s
 616464 376172 7222.85209   39  431 8116.00000 7208.03909  11.2%   151 4111s
 617586 376853 7612.94954   50  124 8116.00000 7208.15625  11.2%   151 4118s
 618188 377202 7471.69101   43  404 8116.00000 7208.22578  11.2%   151 4121s
 619445 378064 7959.47028   46  393 8116.00000 7208.32575  11.2%   151 4128s
 620245 378473 7998.77441   65  233 8116.00000 7208.39026  11.2%   151 4131s
 621402 379174 8056.33598   42  329 8116.00000 7208.46744  11.2%   151 4137s
 622052 379457 7918.66602   57  241 8116.00000 7208.52008  11.2%   151 4141s
 622614 379947 7817.71992   43  366 8116.00000 7208.60258  11.2%   151 4145s
 623329 380026 8049.13219   62  309 8116.00000 7208.63387  11.2%   151 4151s
 623427 380319 7902.11155   43  132 8116.00000 7208.63387  11.2%   151 4155s
 624574 381009 7880.34380   44  388 8116.00000 7208.71391  11.2%   151 4163s
 625074 381272 7834.48860   41  210 8116.00000 7208.73264  11.2%   151 4166s
 625469 381562 7210.51031   29  433 8116.00000 7208.73264  11.2%   151 4170s
 626449 382138 7923.00000   41  201 8116.00000 7208.87578  11.2%   151 4177s
 626929 382451 7873.49221   45  238 8116.00000 7208.92462  11.2%   151 4181s
 627440 383021 7893.25368   54  412 8116.00000 7209.00261  11.2%   151 4185s
 629132 383908 7967.40043   63  219 8116.00000 7209.10998  11.2%   151 4191s
 629866 383921 7879.47170   56  189 8116.00000 7209.14875  11.2%   151 4197s
 629928 384159     cutoff   29      8116.00000 7209.15792  11.2%   151 4200s
